SECID
MSNG
AGRO
ETLN
FIVE
GLTR
HHRU
QIWI
UNAC
ISKJ
GEMA
NAUK
LIFE
MAIL
MDMG
OKEY
OZON
POGR
POLY
RAVN
TCSG
YNDX
ABRD
AVAN
AKRN
ALRS
ALNU
APTK
ARSA
ACKO
ASSB
AMEZ
AFLT
BISV
BISVP
BANE
BANEP
BLNG
BELU
ALBK
BSPB
BRZL
VJGZ
VJGZP
VZRZ
VZRZP
VGSB
VGSBP
VSMO
VTBR
VLHZ
VSYD
VSYDP
GAZA
GAZAP
GAZS
GAZT
GAZC
RTGZ
SIBN
GAZP
HALS
GTSS
GMKN
GTRK
FESH
DERZP
DSKY
DZRD
DZRDP
DVEC
EELT
DIOD
ZVEZ
ZILL
IGSTP
IGST
RUSI
INGR
IRAO
IRKT
IRGZ
KLSB
KMAZ
KCHE
KCHEP
TGKD
TGKDP
KZMS
KMEZ
KSGR
KOGK
KMTZ
KROTP
KROT
KRSB
KRSBP
KTSB
KTSBP
KUBE
KBTK
KUZB
KUNF
KAZT
KAZTP
KGKC
KGKCP
LVHK
LNZLP
LNZL
LNTA
LSRG
LKOH
LPSB
MVID
MAGE
MAGEP
MGNT
MGTSP
MGTS
MFON
MFGS
MFGSP
MTLR
MTLRP
CBOM
MAGN
MRSB
MORI
MOEX
MOBB
MSTT
MRKZ
MRKU
MRKC
MRKP
MTSS
NSVZ
NFAZ
NKSH
NKNC
NKNCP
NKHP
NLMK
NMTP
NVTK
UWGN
OGKB
UCSS
OMZZP
OBUV
KZOS
KZOSP
PAZA
PMSBP
PMSB
PIKK
PLZL
PRMB
PRTK
RASP
RBCM
RGSS
RDRB
CHGZ
ROSB
ROST
ROSN
RSTI
RSTIP
MRKK
MRKY
RTKM
RTKMP
MRKV
LSNG
LSNGP
MSRS
MRKS
AQUA
RUAL
HYDR
RUGR
ROLO
RUSP
RNFT
RZSB
SAGO
SAGOP
SMLT
KRKN
KRKNP
SARE
SAREP
SFIN
SLEN
SBER
SBERP
CHMF
SELG
SELGP
AFKS
JNOSP
JNOS
MGNZ
FLOT
SVAV
STSB
STSBP
SNGS
SNGSP
TASB
TASBP
TATN
TATNP
TTLK
TGKA
TGKN
TGKB
TGKBP
CNTL
CNTLP
TUZA
KRKO
KRKOP
TRMK
KBSB
MISBP
VRSBP
VRSB
MISB
NNSB
NNSBP
TNSE
RTSB
RTSBP
YRSB
YRSBP
TRCN
TRNFP
TRFM
TORS
TORSP
USBN
URKA
URKZ
NPOF
PHOR
FEES
HIMC
HIMCP
WTCM
WTCMP
GCHE
CHKZ
CHMK
CHEP
ELTZ
ENPG
ENRU
RKKE
UKUZ
UPRO
UTAR
UNKL
YKENP
YKEN
YAKG
